,true_model_idx,pmp1,pmp2,pmp3
229,1,0.9376276358882217,0.06237236411150495,2.7343383881781415e-13
230,1,0.3814240005283223,0.5978144413528939,0.02076155811878381
231,1,0.961444125553777,0.038555874446218316,4.695883278990818e-15
232,1,0.803090987464602,0.19690900284126533,9.694132648583502e-09
233,1,0.6822834367501952,0.3177149588297991,1.6044200058252761e-06
234,1,0.9409474183535013,0.05905258164632753,1.7123894860593706e-13
235,1,0.7557119165992903,0.2442879952444549,8.81562546969942e-08
236,1,0.6235859778932235,0.3764015530156582,1.2469091118209092e-05
237,1,0.6344796215007564,0.3655117490739121,8.629425331530753e-06
238,1,0.06735316297975752,0.19929783384457636,0.7333490031756662
239,1,0.5401956804019077,0.4596196507749894,0.00018466882310306599
240,1,0.5289874138993278,0.4707503050358682,0.00026228106480397366
241,1,0.2895677390335435,0.5832196817774763,0.12721257918898024
242,1,0.562600782704849,0.43730821268167536,9.100461347575781e-05
243,1,0.5010047518287257,0.4983701355339096,0.0006251126373648081
244,1,0.7417786361691368,0.258221204763767,1.5906709627323036e-07
245,1,0.5121881876371523,0.4873695069135074,0.00044230544934035365
246,1,0.23441678037427607,0.5231923581482139,0.24239086147751016
247,1,0.9456507421504288,0.05434925784948676,8.444142359454901e-14
248,1,0.884598914921114,0.11540108501744786,6.14381047917155e-11
249,1,0.09619174302859708,0.2681190036275787,0.6356892533438244
250,1,0.45639159006332636,0.541163431627144,0.0024449783095294997
251,1,0.1072500409871125,0.2930225814727653,0.5997273775401223
252,1,0.562600782704849,0.43730821268167536,9.100461347575781e-05
253,1,0.9027814676959123,0.09721853229093902,1.3148828542167763e-11
254,1,0.7779929888884404,0.22200697851569748,3.259586220164984e-08
255,1,0.9687019974967283,0.03129800250327101,8.306759950127e-16
256,1,0.9027814676959123,0.09721853229093902,1.3148828542167763e-11
257,1,0.5065945836296536,0.4928794632392432,0.0005259531311032681
258,1,0.025684378879706888,0.08725258263787028,0.8870630384824228
259,1,0.7225825330985938,0.277417120188368,3.467130381714591e-07
260,1,0.5681933689174267,0.43173047770115935,7.615338141379002e-05
261,1,0.3169938504443193,0.6000079162791802,0.08299823327650045
